Dataset,Tables,Create Time,Create Date!,T or V?,Group Order,Owner,Action,Notes,Unnamed: 9,Unnamed: 10,Unnamed: 11,Type,Modified,table_type,date_created,date_updated
POLS_ANALYTICS,2011-2016 Conferrals,2023-02-17 18:31:16.653 UTC,2023-02-17 18:31:16.653 UTC,BASE TABLE,1.0,Kwabena Attobra,Migrate to polsnadna-nonprd,,,,,,,TABLE,2023-02-17 18:31:16.653000+00:00,2023-02-17 18:31:16.653000+00:00
POLS_ANALYTICS,2011-2022 Conferrals,2023-02-17 18:37:36.724 UTC,2023-02-17 18:37:36.724 UTC,BASE TABLE,1.0,Kwabena Attobra,Migrate to polsnadna-nonprd,,,,,,,TABLE,2023-02-17 18:37:36.724000+00:00,2023-02-17 18:37:36.724000+00:00
POLS_ANALYTICS,2017-2022 Conferrals,2023-02-17 18:29:51.311 UTC,2023-02-17 18:29:51.311 UTC,BASE TABLE,1.0,Kwabena Attobra,Migrate to polsnadna-nonprd,,,,,,,TABLE,2023-02-17 18:29:51.311000+00:00,2023-02-17 18:29:51.311000+00:00
POLS_ANALYTICS,ASUCensus,2021-01-22 14:50:26.019 UTC,2021-01-22 14:50:26.019 UTC,BASE TABLE,1.0,Kwabena Attobra,Migrate to polsnadna-nonprd,,,,,,,TABLE,2021-01-22 14:50:26.019000+00:00,2022-11-14 15:47:50.672000+00:00
POLS_ANALYTICS,ASUFeeWaiver,2023-01-26 19:51:14.712 UTC,2023-01-26 19:51:14.712 UTC,BASE TABLE,2.0,Kwabena Attobra,Migrate to polsnadna-nonprd,,,,,,,TABLE,2023-01-26 19:51:14.712000+00:00,2023-01-26 19:51:14.712000+00:00
POLS_ANALYTICS,ASUHouse,2021-02-09 13:53:26.358 UTC,2021-02-09 13:53:26.358 UTC,EXTERNAL,2.0,,Migrate to polsnadna-nonprd,,,,,,,EXTERNAL,2021-02-09 13:53:26.358000+00:00,2021-02-09 13:53:26.395000+00:00
POLS_ANALYTICS,ASUHouseFinal,2021-03-01 15:33:27.548 UTC,2021-03-01 15:33:27.548 UTC,EXTERNAL,2.0,,Migrate to polsnadna-nonprd,,,,,,,EXTERNAL,2021-03-01 15:33:27.548000+00:00,2021-03-01 15:33:27.578000+00:00
POLS_ANALYTICS,ASU_ProgramAnalysis,2022-05-06 14:40:20.632 UTC,2022-05-06 14:40:20.632 UTC,VIEW,2.0,Kwabena Attobra,Migrate to polsnadna-nonprd,,,,,,,VIEW,2022-05-06 14:40:20.632000+00:00,2022-05-06 14:40:20.794000+00:00
POLS_ANALYTICS,AdjustedPlan_Summer2023,2023-02-15 20:50:21.829 UTC,2023-02-15 20:50:21.829 UTC,BASE TABLE,2.0,,Migrate to polsnadna-nonprd,,,,,,,TABLE,2023-02-15 20:50:21.829000+00:00,2023-02-15 20:50:21.829000+00:00
POLS_ANALYTICS,Agent_System_Check,2023-02-13 21:08:31.234 UTC,2023-02-13 21:08:31.234 UTC,BASE TABLE,2.0,,Migrate to polsnadna-nonprd,,,,,,,TABLE,2023-02-13 21:08:31.234000+00:00,2023-02-13 21:08:31.235000+00:00
POLS_ANALYTICS,CurrentForecast_DaystoStart,2023-03-09 15:25:14.886 UTC,2023-03-09 15:25:14.886 UTC,VIEW,3.0,Sabrina Benton,Migrate to polsnadna-sandbox (in development),,,,,,,VIEW,2023-03-09 15:25:14.886000+00:00,2023-03-09 15:25:15.421000+00:00
POLS_ANALYTICS,CurrentPipelineForecast_AllKPI_ByStage,2023-03-22 16:20:41.04 UTC,2023-03-22 16:20:41.04 UTC,BASE TABLE,3.0,Sabrina Benton,Migrate to polsnadna-sandbox (in development),,,,,,,TABLE,2023-03-22 16:20:41.040000+00:00,2023-03-22 16:20:41.041000+00:00
POLS_ANALYTICS,CurrentPipelineForecast_BudgetInquries,2023-03-22 16:19:51.609 UTC,2023-03-22 16:19:51.609 UTC,BASE TABLE,3.0,Sabrina Benton,Migrate to polsnadna-sandbox (in development),,,,,,,TABLE,2023-03-22 16:19:51.609000+00:00,2023-03-22 16:19:51.610000+00:00
POLS_ANALYTICS,CurrentPipelineForecast_DaysStagetoStart,2023-03-22 16:20:05.95 UTC,2023-03-22 16:20:05.95 UTC,BASE TABLE,3.0,Sabrina Benton,Migrate to polsnadna-sandbox (in development),,,,,,,TABLE,2023-03-22 16:20:05.950000+00:00,2023-03-22 16:20:05.951000+00:00
POLS_ANALYTICS,CurrentPipelineForecast_DaysStagetoStart_ByStage,2023-03-22 16:20:09.301 UTC,2023-03-22 16:20:09.301 UTC,BASE TABLE,3.0,Sabrina Benton,Migrate to polsnadna-sandbox (in development),,,,,,,TABLE,2023-03-22 16:20:09.301000+00:00,2023-03-22 16:20:09.302000+00:00
